Title,Date,Location,URL
Ringvorlesung Gaming Literature,05.12. - 19.12.2024,UZH,https://www.uzh.ch/de/events/events/rv/uzh-i-gaming-literature.html
Configurable AI? Designing for clinical usefulness across contexts,06.12.2024,DSI,/de/current/events/configurable-ai.html
Digital Health Design Challenge 2024,07.12.2024,Extern,https://www.dhdll.ch/challenge
Ringvorlesung Kulturanalyse jetzt!,09.12. – 16.12.2024,UZH,https://www.uzh.ch/cmsssl/de/events/events/rv/cultural-analysis.html
Öffentliche Abschlussdiskussion des Moduls Philosophie des Digitalen,09.12.2024,DSI & Co.,/de/current/events/philosophie-des-digitalen.html
Vom gymnasialen Rahmenlehrplan zur Hochschulbildung: Interdisziplinarität und transversale Kompetenzen im Fokus,10.12.2024,DSI & Co.,/de/current/events/gymnasialer-rahmenlehrplan-hochschuldbildung.html
DSI Community AI & Law Guest Lecture: Explainable AI in Healthcare,11.12.2024,DSI,/de/current/events/ai-law-guest-lecture.html
Artificial Intelligence Agency and Liability Workshop,12.12.2024,DSI,/de/current/events/artificial-intelligence-agency-liability.html
Work and Social Justice: Challenges and Opportunities in the Digital Age,13.12.2024,DSI & Co.,/de/current/events/work-social-justice-digital-age.html
ethereumzüri.ch 2025,30. - 31.01.2025,Extern,http://ethereumzuri.ch
DSI Infrastructure & Lab Call: Online Info Session for interested applicants,07.02.2025,DSI,/de/current/events/dsi-infrastructure-lab-call-2025-info-session.html
